case_10	128.0	2011940	0.797569	1956938	0.775765	47396	0.0187886	0.972662	0.976353 chr2
case_10	282.0	1764502	0.689923	1631184	0.637796	132581	0.0518394	0.924444	0.924831 chr2
case_10	196.0	2105218	0.791858	2018097	0.759088	124705	0.0469066	0.958617	0.941803 chr2
case_10	282.0	1745723	0.682671	1614632	0.631408	131433	0.0513973	0.924907	0.924726 chr2
case_10	128.0	2278256	0.800324	2217046	0.778822	58340	0.0204941	0.973133	0.97436 chr2
case_10	282.0	1965300	0.747791	1834608	0.698063	166640	0.063406	0.9335	0.916732 chr2
case_10	12.0	2411179	0.980923	2410759	0.980752	420	0.000170866	0.999826	0.999826 chr2
case_10	282.0	1919711	0.732235	1758440	0.670722	166226	0.0634036	0.915992	0.913634 chr2
case_10	118.0	2100623	0.811793	2073407	0.801275	53265	0.0205844	0.987044	0.974954 chr2
case_10	128.0	1999729	0.792891	1944835	0.771125	48063	0.0190569	0.972549	0.975883 chr2
case_10	128.0	2014398	0.798599	1957417	0.77601	48082	0.0190619	0.971713	0.976025 chr2
case_10	282.0	1914129	0.679678	1762386	0.625797	159465	0.0566236	0.920725	0.917025 chr2
case_10	82.0	2299650	0.82683	2286049	0.82194	38956	0.0140065	0.994086	0.983245 chr2
case_10	196.0	2024901	0.726367	1942782	0.696909	115690	0.0415	0.959445	0.943798 chr2
case_10	82.0	2304701	0.828699	2288499	0.822874	40484	0.0145568	0.99297	0.982617 chr2
case_10	196.0	1825551	0.721939	1741174	0.688571	102529	0.0405465	0.95378	0.94439 chr2
case_10	128.0	2027810	0.746313	1942445	0.714895	47908	0.017632	0.957903	0.97593 chr2
case_10	282.0	1926868	0.735015	1760616	0.671597	163583	0.0623997	0.913719	0.914986 chr2
case_10	282.0	1987692	0.739717	1822654	0.678299	177536	0.0660698	0.91697	0.91124 chr2
case_10	10.0	2554156	0.98746	2552711	0.986901	1445	0.00055865	0.999434	0.999434 chr2
case_10	128.0	1996500	0.791555	1943896	0.770699	47331	0.0187654	0.973652	0.97623 chr2
case_10	128.0	2013983	0.741317	1932058	0.711161	48042	0.0176835	0.959322	0.975738 chr2
case_10	118.0	2118371	0.818544	2090111	0.807624	53358	0.0206177	0.98666	0.975107 chr2
case_10	128.0	2253394	0.849704	2207318	0.83233	59963	0.0226107	0.979553	0.973553 chr2
case_10	128.0	2250881	0.848699	2210694	0.833547	59024	0.0222551	0.982146	0.973995 chr2
case_10	196.0	2035137	0.784852	1931721	0.744969	117359	0.0452596	0.949185	0.942726 chr2
case_10	196.0	2032798	0.783896	1930038	0.744269	118360	0.0456425	0.949449	0.942218 chr2
case_10	196.0	1844904	0.729494	1758895	0.695485	101838	0.0402678	0.95338	0.94527 chr2
case_11	104.0	2297664	0.871508	2278101	0.864088	37638	0.0142762	0.991486	0.983747 chr2
case_11	36.0	2321321	0.919053	2315867	0.916893	6540	0.0025893	0.99765	0.997184 chr2
case_11	128.0	2067357	0.805114	1996242	0.777419	54541	0.0212405	0.965601	0.973405 chr2
case_11	107.0	2290044	0.876932	2254343	0.86326	32472	0.0124346	0.98441	0.9858 chr2
case_11	289.0	1835535	0.710295	1636663	0.633338	166659	0.0644919	0.891654	0.907582 chr2
case_11	104.0	2146509	0.848988	2104354	0.832315	33320	0.0131787	0.980361	0.984413 chr2
case_11	4.0	2608752	0.992057	2608341	0.9919	1768	0.000672335	0.999842	0.999323 chr2
case_11	36.0	2321245	0.920043	2317215	0.918446	8074	0.00320019	0.998264	0.996528 chr2
case_11	36.0	2320134	0.918059	2315996	0.916421	6584	0.00260524	0.998216	0.997165 chr2
case_11	289.0	1830943	0.710382	1651119	0.640613	158466	0.0614828	0.901786	0.91243 chr2
case_11	104.0	2298717	0.873313	2281245	0.866676	39740	0.0150978	0.992399	0.982878 chr2
case_11	289.0	1855472	0.707209	1677856	0.639511	163824	0.0624411	0.904274	0.911046 chr2
case_11	4.0	2407143	0.995053	2407122	0.995045	21	8.68088e-06	0.999991	0.999991 chr2
case_11	107.0	2289660	0.878212	2258045	0.866085	34011	0.0130451	0.986192	0.985161 chr2
case_11	107.0	2295696	0.878242	2265351	0.866634	39618	0.0151563	0.986782	0.982812 chr2
case_11	128.0	2223358	0.830885	2163849	0.808646	64556	0.024125	0.973235	0.97103 chr2
case_11	107.0	2127004	0.849673	2070877	0.827252	25815	0.0103123	0.973612	0.987688 chr2
case_11	289.0	1831143	0.709292	1647970	0.63834	156728	0.0607085	0.899968	0.913156 chr2
