sample1,sample2,distance
HG00438.2,HG01167.2,0.859107
HG02083.2,HG02293.1,0.896770
HG02514.1,NA18974.1,0.822106
HG01150.2,NA18974.1,0.889855
HG00621.2,HG02300.1,0.864517
HG01361.1,HG02514.2,0.858667
HG04160.1,NA19682.1,0.859006
HG01952.1,HG03942.1,0.846103
HG01530.2,NA18974.1,0.829548
HG00344.2,HG03874.1,0.858737
HG01975.1,HG02293.1,0.878587
HG00597.2,NA18974.1,0.851776
HG00097.2,HG02514.2,0.861476
HG01952.1,HG01975.2,0.869301
HG01192.2,HG03688.2,0.861435
HG01361.1,NA19682.1,0.866762
HG00438.2,HG03874.1,0.869250
HG00438.2,HG02514.1,0.865424
HG02293.1,HG03874.1,0.896852
HG00741.1,NA20827.2,0.845464
HG02514.2,NA18945.1,0.879048
HG01952.1,HG02083.2,0.849248
HG01952.1,HG01993.2,0.869191
HG00272.1,HG01952.1,0.848738
HG02080.2,NA18974.1,0.804175
HG00741.1,HG04160.1,0.851819
HG02293.1,NA18952.2,0.897875
HG02080.2,NA19682.1,0.852660
HG01952.1,HG01978.2,0.869986
HG01952.1,HG01975.1,0.830156
HG01192.2,HG04160.1,0.851365
HG00438.2,HG01978.2,0.877093
HG00097.2,HG00741.1,0.859098
HG00741.1,NA18983.1,0.871630
HG01192.2,NA18983.1,0.869142
HG00344.2,HG01993.2,0.883455
HG00344.2,HG01175.1,0.859326
HG01981.1,NA18974.1,0.894461
HG00272.1,HG00438.2,0.863993
HG01175.1,NA18974.1,0.839064
HG00741.1,HG01081.2,0.838516
HG00597.2,HG02300.1,0.885077
HG00272.1,HG01192.2,0.853122
HG00621.2,HG01192.2,0.851471
HG01361.1,HG02300.1,0.880312
HG02080.2,HG02300.1,0.856150
HG02300.1,NA18952.2,0.875472
HG01975.2,NA18974.1,0.845434
HG01081.2,HG02514.2,0.842163
HG00658.1,HG02300.1,0.880011
HG03942.1,NA19682.1,0.848049
HG00320.1,HG01192.2,0.865441
HG03239.1,NA18974.1,0.826098
HG02514.1,NA19682.1,0.859269
HG02293.1,HG03834.2,0.887151
HG02514.2,NA18952.2,0.856902
HG00741.1,HG02514.1,0.854344
HG02293.1,HG03942.1,0.888133
HG02300.1,HG03874.1,0.861844
HG00741.1,HG01993.2,0.867076
HG00320.1,NA18974.1,0.838631
HG01952.1,HG04160.1,0.851296
HG00438.2,HG01074.1,0.869984
HG00438.2,HG04160.1,0.857718
HG00741.1,HG01978.2,0.868419
HG01192.2,NA18952.1,0.856896
HG00621.2,NA19682.1,0.855137
HG02083.2,HG02514.2,0.857094
HG00438.2,HG01975.1,0.845612
HG02293.1,HG03688.2,0.898816
HG00658.1,NA19682.1,0.872292
HG01074.1,NA19682.1,0.866070
HG00280.2,NA18974.1,0.857217
HG00344.2,HG00658.1,0.889319
HG02514.1,HG02514.2,0.856743
HG01940.1,HG02300.1,0.859579
HG01952.1,HG02080.2,0.832822
HG01081.2,HG01192.2,0.838867
HG00438.2,HG03834.2,0.855767
HG01081.2,NA19682.1,0.851116
HG02300.1,NA18952.1,0.873114
HG00344.2,HG01978.2,0.876956
NA18945.1,NA19682.1,0.879505
HG01975.1,NA19682.1,0.844660
HG02083.2,NA18974.1,0.823810
HG01361.1,HG01952.1,0.864083
HG01952.1,HG02514.1,0.845400
HG01081.2,HG02293.1,0.878432
HG00280.2,HG00741.1,0.861599
HG00438.2,HG03942.1,0.855183
HG02080.2,HG02293.1,0.876114
HG01074.1,HG01192.2,0.843897
HG01993.2,HG02300.1,0.882125
HG00344.2,HG01530.2,0.877287
HG01192.2,NA18952.2,0.852433
HG00272.1,HG02300.1,0.867319
HG02514.2,HG03834.2,0.834346
HG00741.1,HG02080.2,0.840333
HG00438.2,HG00658.1,0.882387
HG00344.2,HG03239.1,0.869288
HG01074.1,HG02514.2,0.851020
HG00621.2,HG01952.1,0.847596
HG02083.2,HG02300.1,0.872334
HG00597.2,HG00741.1,0.868876
HG01175.1,HG02300.1,0.876087
HG01978.2,HG02514.2,0.861885
HG01952.1,HG03688.2,0.861642
HG00280.2,HG00344.2,0.860962
HG00344.2,HG02514.1,0.874918
HG01167.2,NA18974.1,0.813236
HG00741.1,NA18945.1,0.881596
HG00621.2,HG02293.1,0.885235
HG01192.2,HG01940.1,0.845980
NA18952.1,NA19682.1,0.865736
HG00280.2,HG01952.1,0.850781
HG00344.2,NA18945.1,0.870246
HG01952.1,HG03874.1,0.850571
NA18620.2,NA18974.1,0.897636
HG00735.1,NA18974.1,0.899299
HG01940.1,NA19682.1,0.852795
HG01969.2,NA18974.1,0.884446
HG01361.1,HG02293.1,0.899647
HG01175.1,HG02514.2,0.853131
HG00741.1,NA18952.1,0.858201
HG00741.1,HG01074.1,0.859680
HG00741.1,HG03874.1,0.851408
HG00438.2,HG01530.2,0.868372
HG01952.1,NA20827.2,0.845145
HG00597.2,HG01952.1,0.871049
HG01975.2,HG02514.2,0.865951
HG00344.2,HG04160.1,0.863030
HG00344.2,NA18952.2,0.860643
HG01167.2,HG02514.2,0.840565
HG00097.2,HG01952.1,0.853079
HG00344.2,HG03688.2,0.865810
HG00097.2,HG00344.2,0.860891
HG02293.1,HG04160.1,0.894789
HG00280.2,HG00438.2,0.871042
HG00741.1,HG01175.1,0.862856
HG01192.2,HG03834.2,0.838938
HG02293.1,NA18952.1,0.887266
HG01192.2,HG01975.1,0.838663
HG00344.2,HG01975.1,0.838833
HG01074.1,HG01952.1,0.859845
HG01346.1,NA18974.1,0.877833
HG00597.2,HG02514.2,0.871972
HG00438.2,HG01975.2,0.879341
HG02300.1,HG03942.1,0.856596
HG00438.2,HG01361.1,0.875684
HG01192.2,HG01993.2,0.860441
HG00558.2,NA18974.1,0.892774
HG03239.1,NA19682.1,0.870572
HG01975.2,HG02300.1,0.886747
HG00272.1,HG00741.1,0.850010
HG01175.1,HG01952.1,0.861730
HG01074.1,NA18974.1,0.835259
HG02083.2,NA19682.1,0.864256
HG01192.2,HG03942.1,0.832489
HG01081.2,HG02300.1,0.854302
HG01192.2,HG02083.2,0.854281
HG01940.1,NA18974.1,0.811289
NA19682.1,NA20827.2,0.855123
HG01175.1,NA19682.1,0.867844
HG00272.1,HG02514.2,0.851988
HG01192.2,HG02080.2,0.842048
HG01940.1,HG02514.2,0.841709
HG00097.2,HG01192.2,0.860568
HG02080.2,HG02514.2,0.842206
HG00344.2,HG01074.1,0.856563
HG00741.1,HG01346.1,0.899473
HG00438.2,HG02080.2,0.851620
HG00621.2,HG00741.1,0.852972
HG02004.2,NA18974.1,0.887337
HG01496.2,NA18974.1,0.889097
HG00438.2,HG03239.1,0.868830
HG00097.2,HG00438.2,0.859827
HG00741.1,HG01940.1,0.844840
HG01952.1,HG03834.2,0.843482
HG00741.1,NA18952.2,0.860268
HG01167.2,HG01192.2,0.842808
HG03688.2,NA19682.1,0.865028
HG00320.1,HG00741.1,0.870251
HG03804.1,NA18974.1,0.883191
HG00344.2,HG03834.2,0.857553
HG01192.2,HG03239.1,0.855044
HG00344.2,HG02083.2,0.898293
HG01167.2,NA19682.1,0.847848
HG01530.2,HG02300.1,0.870439
HG01975.1,HG02514.2,0.834902
HG01081.2,NA18974.1,0.806106
HG00741.1,HG03688.2,0.862547
HG00658.1,HG00741.1,0.859441
NA18945.1,NA18974.1,0.858748
HG01952.1,NA18952.1,0.846696
HG00438.2,NA20827.2,0.852763
HG02514.2,HG03942.1,0.842723
HG01167.2,HG01952.1,0.843150
HG00344.2,HG02080.2,0.862868
HG00280.2,HG01192.2,0.843104
HG00272.1,NA19682.1,0.867069
HG00658.1,HG02293.1,0.899989
HG00658.1,HG01952.1,0.873882
HG00741.1,HG01530.2,0.858289
HG00741.1,HG03942.1,0.840988
HG00438.2,NA18952.1,0.868147
HG02165.2,NA18974.1,0.895389
HG00639.2,NA18974.1,0.878760
HG00344.2,HG01975.2,0.876739
NA18952.2,NA19682.1,0.869788
HG00438.2,NA18945.1,0.885942
HG00320.1,HG02514.2,0.866316
HG01074.1,HG02300.1,0.875125
HG01081.2,HG01952.1,0.826947
HG02514.2,HG04160.1,0.844209
HG00438.2,HG02083.2,0.870711
HG00741.1,HG02083.2,0.864002
HG00344.2,NA18952.1,0.859779
HG01192.2,HG01978.2,0.865123
HG005.1,NA18974.1,0.882447
HG00344.2,HG00621.2,0.830843
HG00344.2,NA18983.1,0.866358
HG00621.2,NA18974.1,0.810887
HG00344.2,HG01081.2,0.847181
HG00320.1,HG00344.2,0.883264
HG01192.2,HG02514.1,0.855715
HG01978.2,NA19682.1,0.876772
HG00280.2,HG02300.1,0.873654
HG00597.2,HG01192.2,0.870527
HG01167.2,HG02293.1,0.886422
NA18620.1,NA18974.1,0.885887
NA18952.1,NA18974.1,0.828858
HG01978.2,NA18974.1,0.839978
HG00320.1,HG00438.2,0.881990
NA18983.1,NA19682.1,0.871774
HG00280.2,HG02514.2,0.846744
HG01952.1,NA18983.1,0.868323
HG02300.1,HG02514.1,0.863999
HG01530.2,HG02514.2,0.859360
HG02514.2,HG03874.1,0.851420
HG00272.1,NA18974.1,0.823187
HG00438.2,HG00597.2,0.883948
NA18974.1,NA20827.2,0.805793
HG01993.2,HG02514.2,0.862722
NA18974.1,NA19087.1,0.896265
HG01934.2,NA18974.1,0.882014
HG01530.2,NA19682.1,0.863816
HG00344.2,HG01167.2,0.849296
HG00741.1,HG03239.1,0.856994
HG03688.2,NA18974.1,0.835919
HG00344.2,HG01940.1,0.848758
HG01975.2,NA19682.1,0.872226
HG02300.1,HG03239.1,0.872157
HG02300.1,NA18945.1,0.887479
HG01192.2,HG01975.2,0.856427
HG00272.1,HG02293.1,0.892727
HG02300.1,HG04160.1,0.866412
HG00741.1,HG03834.2,0.845757
HG02300.1,NA20827.2,0.851120
HG00438.2,HG00621.2,0.859242
HG01940.1,HG01952.1,0.835501
HG01978.2,HG02300.1,0.880070
HG01192.2,HG01361.1,0.866500
HG02514.2,NA20827.2,0.842001
HG02514.2,NA18952.1,0.859746
HG00438.2,HG03688.2,0.870783
HG03942.1,NA18974.1,0.811924
HG02300.1,NA18983.1,0.885211
HG00320.1,HG02300.1,0.882269
HG01952.1,HG03239.1,0.852522
HG01361.1,NA18974.1,0.839523
HG00320.1,NA19682.1,0.874782
HG00597.2,NA19682.1,0.874947
HG03834.2,NA19682.1,0.847440
HG00621.2,HG02514.2,0.853728
HG00344.2,NA20827.2,0.851335
HG01192.2,HG01530.2,0.844829
HG02514.2,NA18983.1,0.868339
HG00097.2,NA18974.1,0.829259
HG01975.1,NA18974.1,0.801184
HG01167.2,HG02300.1,0.861360
NA18974.1,NA21144.2,0.896334
HG02300.1,HG03834.2,0.862136
HG01175.1,HG01192.2,0.844704
HG01192.2,HG03874.1,0.848374
HG00658.1,HG01192.2,0.865511
HG04160.1,NA18974.1,0.816742
HG02004.1,NA18974.1,0.884071
HG03874.1,NA18974.1,0.821371
HG00658.1,NA18974.1,0.852990
HG02300.1,HG03688.2,0.875904
HG01192.2,NA20827.2,0.843375
HG02293.1,HG02514.1,0.877904
HG01993.2,NA19682.1,0.876684
HG00658.1,HG02514.2,0.867702
HG00741.1,HG01361.1,0.867038
HG01952.1,NA18952.2,0.854358
NA18952.2,NA18974.1,0.832278
NA18974.1,NA19087.2,0.892379
NA18974.1,NA19776.2,0.893183
NA18974.1,NA18974.2,0.895180
HG00344.2,HG03942.1,0.837106
HG00438.2,HG01993.2,0.876023
HG00272.1,HG00344.2,0.848688
NA18974.1,NA18983.1,0.848818
HG00320.1,HG01952.1,0.869139
HG01940.1,HG02293.1,0.881016
HG01993.2,NA18974.1,0.843179
HG00097.2,NA19682.1,0.864363
